Age,Birth_Place,College,Current_Team,Experience,Position,Last_Name,First_Name
,"Elmwood , IL",Navy,,5 Seasons,,Roberts, Wooky
,,No College,,1 Season,,Pitts, Alabama
42,"Vancouver , B.C.",Oregon,,2 Seasons,,Sanchez, Davis
35,"Greenville , MS",Mississippi,,5 Seasons,,Johnson, Marcus
47,"Nacogdoches , TX",Texas,,5 Seasons,,Jeter, Tommy
,,Holy Cross,,1 Season,,Kennedy, Jimmy
27,,Murray State,,5 Seasons,,Harris, Marcus
,"Lake Charles , LA",Tulane,,11 Seasons,,Mason, Tommy
41,"Birmingham , AL",Alabama-Birmingham,,2 Seasons,,Davis, Pernell
,"Amarillo , TX",Texas,,3 Seasons,,Mauldin, Stan
,"Benton , IL",Tennessee,,10 Seasons,,Lipscomb, Paul
22,,Arkansas State,Oakland Raiders,Rookie,DB,Humes, Chris
62,"Gainesville , FL",Texas Southern,,5 Seasons,,Dean, Fred
,"New Orleans , LA",Tulane,,1 Season,,Thibaut, Jim
30,"Gardena , CA",Utah,,4 Seasons,,Johnson, Robert
,"St. Paul , MN",Wisconsin,,1 Season,,Johnson, Farnham
40,"Honokaa , HI",Hawaii,,2 Seasons,,Noa, Kaulana
28,"Kansas City , MO",Southern Illinois,,1 Season,,Franklin, Stephen
67,"Greenwood , MS",USC,,11 Seasons,,Weaver, Charlie
,Romania,Pittsburgh,,2 Seasons,,Seidelson, Red
43,"Winter Haven , FL",Florida,,5 Seasons,,Odom, Jason
42,"Washington , DC",Colorado,,1 Season,,Savoy, Phil
,"Cincinnati , OH",Ohio State,,8 Seasons,,James, Dan
44,"Tallahassee , FL",Ohio State,,1 Season,,Saunders, Cedric
58,"Chicago , IL",Colorado,,1 Season,,Niziolek, Bob
43,"Downey , CA",California,,2 Seasons,,Thure, Brian
39,"Sulphur Springs , TX",Miami (Fla.),,11 Seasons,,Lewis, Damione
,"Randolph , NE",Creighton,,1 Season,,Maillard, Ralph
29,,Monmouth (N.J.),,1 Season,,Ottaiano, Tom
37,,Kentucky,,1 Season,,Scaldaferri, Stephen
,"Ellwood City , PA",Pittsburgh,,6 Seasons,,MacMurdo, Jim
,"Clark , SD",Minnesota,,4 Seasons,,Odson, Urban
42,"Marrero , LA",Oklahoma,,2 Seasons,,Fazande, Jermaine
27,"Newbury Park , CA",Louisiana Tech,,1 Season,,Cameron, Colby
,"Decatur , NE",Carroll (Wis.),,1 Season,,Quinn, Ivan
59,"Shawnee , OK",Oklahoma State,,1 Season,,Taylor, Roger
58,"Arlington Heights , IL",Illinois,,3 Seasons,,Gillen, John
26,"Batavia , NY",Cornell,Cleveland Browns,5th season,C,Tretter, JC
58,"Detroit , MI",Michigan,,9 Seasons,,Owens, Mel
44,"Detroit , MI",Eastern Michigan,,7 Seasons,,Rice, Ron
55,"Los Angeles , CA",Cal Poly-S.L.O.,,7 Seasons,,Johnson, Damone
49,"Seattle , WA",Idaho,,2 Seasons,,Carey, Richard
25,"Phoenix , AZ",Nebraska,Baltimore Ravens,2nd season,OG,Lewis, Alex
,"La Crosse , WI",Wisconsin,,4 Seasons,,Temp, Jim
37,"Philadelphia , PA",Princeton,,9 Seasons,,Norman, Dennis
35,"Albany , GA",Georgia Tech,Tampa Bay Buccaneers,14th season,OLB,Smith, Daryl
44,"Miami , FL",Louisville,,1 Season,,Campos, Alan
28,,Colorado State-Pueblo,,2 Seasons,,Vaughn, Chase
27,"Vernon , TX",Abilene Christian,Jacksonville Jaguars,4th season,RB,Richardson, Daryl
26,"Virginia Beach , VA",Delaware,Denver Broncos,4th season,NT,Kerr, Zach
,"Mount Carmel , PA",Villanova,,1 Season,,Andrulewicz, Teddy
55,,Wake Forest,,1 Season,,Campbell, Glen
79,"Waterloo , IA",New Mexico,,8 Seasons,,Perkins, Don
55,"Jacksonville , FL",Furman,,6 Seasons,,Gibson, Ernest
,"Bronx , NY",Georgetown,,3 Seasons,,Frank, Joe
24,,Pittsburg State,Atlanta Falcons,Rookie,DB,Washington, Deron
,"Crucible , PA",Indiana,,8 Seasons,,Filchock, Frank
53,"Chilton , AL",Auburn,,7 Seasons,,Agee, Tommie
27,"Kearney , NE",Notre Dame,Atlanta Falcons,5th season,G,Robinson, Trevor
34,"Alexandria , LA",Grambling State,,10 Seasons,,Hatcher, Jason
