,Age,Birth_Place,College,Current_Team,Experience,Position,First_Name,Last_Name
236,67.0,"St. Louis , MO",New Mexico,,2 Seasons,,Scarber, Sam
237,22.0,"Brooklyn , NY",Iowa,Minnesota Vikings,Rookie,DT,Johnson, Jaleel
238,23.0,"Nashville , TN",Ohio State,Los Angeles Chargers,2nd season,ILB,Perry, Joshua
239,28.0,,Stanford,,1 Season,,Gatewood, Corey
240,58.0,"Shreveport , LA",North Texas,,2 Seasons,,Battle, Ron
241,,"Paris , TX",Baylor,,7 Seasons,,Nelson, Robert
242,39.0,Walbrzych Poland,Florida State,Oakland Raiders,18th season,K,Janikowski, Sebastian
243,,"Fort Huachuca , AZ",Hawaii,,9 Seasons,,Hall, Ron
244,84.0,"Lawrence , MA",Michigan State,,9 Seasons,,Quinlan, Bill
245,45.0,"Denver , CO",Ohio State,,8 Seasons,,Sanders, Chris
246,25.0,"Pittsburgh , PA",Boston College,Arizona Cardinals,2nd season,OT,Wetzel, John
247,37.0,"Paterson , NJ",Ohio State,,1 Season,,Thompson, David
248,52.0,"Greensboro , NC",Clemson,,6 Seasons,,Hall, Delton
249,,"Pawhuska , OK",Oklahoma,,5 Seasons,,Campbell, Bill
250,,"Johnston City , IL",Illinois Wesleyan,,4 Seasons,,Kaska, Tony
251,,"Chicago , IL",Illinois,,8 Seasons,,Knop, Oscar
252,,"Cleveland , OH",Tulsa,,1 Season,,Reynolds, Homer
253,,"De Ridder , LA",Army,,5 Seasons,,Cagle, Chris
254,35.0,,Nebraska,,0 Season,,Erickson, Mike
255,28.0,"Laurinburg , NC",Virginia Tech,,4 Seasons,,Carmichael, Roc
256,,"Cape May , NJ",Indiana,,2 Seasons,,Anderson, Cliff
257,30.0,"New Milford , NJ",Stanford,San Francisco 49ers,8th season,TE,Dray, Jim
258,,,South Dakota,Indianapolis Colts,Rookie,DB,Graham, Tyson
259,27.0,"Riverside , CA",Brigham Young,Kansas City Chiefs,4th season,DB,Sorensen, Daniel
260,35.0,"Fort Pierce , FL",Kansas State,,5 Seasons,,Figurs, Yamon
261,,"Medford , WI",USC,,9 Seasons,,Pinckert, Ernie
262,82.0,"Landis , NC",Wake Forest,,9 Seasons,,Barnes, Billy
263,52.0,"San Diego , CA",Cincinnati,,1 Season,,Lathan, Greg
264,65.0,"Ypsilanti , MI",Eastern Michigan,,3 Seasons,,Fernandes, Ron
265,77.0,"Richmond , VA",Georgia,,18 Seasons,,Tarkenton, Fran
266,26.0,,Florida A&M,,1 Season,,Mays, Frances
267,,"Lewiston , NY",Manhattan,,1 Season,,Seick, Red
268,33.0,"Chicago , IL",Notre Dame,,5 Seasons,,Mays, Corey
269,45.0,"Elizabeth , NJ",Rutgers,,2 Seasons,,Catanho, Alcides
270,71.0,"Beloit , WI",Northern Arizona,,8 Seasons,,Tillman, Rusty
271,26.0,"Nichols Hills , OK",Oklahoma,Cleveland Browns,4th season,C,Ikard, Gabe
272,35.0,"Southfield , MI",Notre Dame,,5 Seasons,,Earl, Glenn
273,26.0,"Fort Lauderdale , FL",Florida Atlantic,,1 Season,,Carter, Duron
274,,"Shreveport , LA",LSU,,1 Season,,Leisk, Rube
275,30.0,"Fort Pierce , FL",Western Michigan,,7 Seasons,,Delmas, Louis
276,75.0,"Muenster , TX",Texas Tech,,10 Seasons,,Parks, Dave
277,,"Atchison , KS",Nebraska,,1 Season,,Bassett, Henry
278,51.0,"Seattle , WA",Washington State,,3 Seasons,,Utley, Mike
279,38.0,"Jacksonville , FL",Virginia Tech,,9 Seasons,,Lehr, Matt
280,65.0,"Houston , TX",Sam Houston State,,3 Seasons,,Dirden, Johnnie
281,24.0,"Pensacola , FL",Arizona State,Green Bay Packers,3rd season,CB,Randall, Damarious
282,,"Philadelphia , PA",No College,,2 Seasons,,Vaughan, Harp
283,24.0,"Winnipeg , Manitoba",Notre Dame,Detroit Lions,2nd season,WR,Jones, T.J.
284,,"San Francisco , CA",Oregon State,,1 Season,,Koeper, Rich
285,,,Texas Christian,,1 Season,,Olson, Jeff
286,25.0,"Fort Gordon , GA",Georgia,Jacksonville Jaguars,5th season,DT,Jones, Abry
287,,"Columbus , OH",No College,,3 Seasons,,Gaulke, Hal
288,23.0,"Miami , FL",Maryland,Cleveland Browns,Rookie,CB,Hill, Alvin
289,,"Albany , GA",Georgia,,1 Season,,Whire, Jodie
